idx,file,subject,stage,crop,ratio,heroC,hdrC,tileC,sqC,skin,skinY,skinLost,mean,sd,blown,sat,ringsat,cast
216,iStock-614734264.jpg,move,s4,T,1.525,1.332,1.566,1.084,1.158,0,0,0,64.3,45.6,0.0,0.433,0.483,-12.4
217,iStock-617368256-modified-24fec599-7a03-41d0-aa61-5cae7cd037ae.jpg,social,s5,T,1.501,1.563,1.776,1.132,1.164,0,0,0,187.7,63.3,0.0103,0.215,0.172,-13.8
218,iStock-623214156.jpg,portrait,s6,T,1.5,1.171,1.177,1.085,1.288,0,0,0,115.3,70.3,0.0,0.19,0.189,9.3
219,iStock-623383236.jpg,mind,s3,N,0.667,1.555,1.729,1.188,1.072,0,0,0,167.3,64.9,0.0763,0.251,0.151,26.4
220,iStock-625738384.jpg,work,s1,T,1.499,1.259,1.252,0.994,1.048,0,0,0,99.4,72.8,0.0161,0.343,0.316,-4.4
221,iStock-626188422.jpg,outdoors,s5,H,1.51,1.28,1.148,1.098,1.003,0,0,0,177.6,60.3,0.1976,0.277,0.252,46.5
222,iStock-636083442.jpg,move,s3,T,1.499,1.193,1.22,1.043,1.142,0,0,0,193.4,55.3,0.106,0.225,0.228,29.4
223,iStock-637774894.jpg,work,s6,T,1.382,1.253,1.28,1.063,1.09,0,0,0,137.4,67.9,0.0239,0.244,0.231,11.7
224,iStock-643360916 (1).jpg,social,s5,H,1.16,0.805,0.845,0.925,1.091,0,0,0,190.1,61.8,0.0452,0.123,0.162,-2.8
225,iStock-664213460.jpg,family,s6,T,1.5,1.01,1.061,1.012,1.143,0,0,0,163.4,76.9,0.2987,0.309,0.301,37.5
226,iStock-668164180.jpg,outdoors,s3,H,1.442,1.038,1.133,1.057,1.031,0,0,0,166.0,72.5,0.1595,0.204,0.174,4.6
227,iStock-670329158.jpg,family,s6,T,1.346,1.166,1.273,1.1,1.125,0,0,0,156.0,58.0,0.0076,0.286,0.183,2.7
228,iStock-674567376.jpg,mind,s6,H,1.371,0.72,0.68,0.947,1.263,0,0,0,162.1,48.9,0.0002,0.465,0.474,-31.9
229,iStock-675938412.jpg,move,s3,H,1.374,1.214,1.398,1.106,1.068,0,0,0,165.6,68.5,0.2324,0.38,0.337,54.9
230,iStock-815638746 (2).jpg,work,s1,T,1.671,1.235,1.017,1.064,1.176,0,0,0,190.6,54.3,0.1157,0.128,0.109,-0.4
231,iStock-815982336.jpg,data,s4,T,1.498,1.236,1.323,1.099,1.139,0,0,0,138.2,63.1,0.0293,0.307,0.26,39.8
232,iStock-824167622.jpg,digital,s6,T,1.764,1.472,1.533,1.008,1.231,0,0,0,130.2,54.5,0.0,0.257,0.272,32.8
233,iStock-857052046 (1).jpg,digital,s2,N,1.499,1.296,1.274,1.084,1.116,0,0,0,161.3,45.9,0.0007,0.16,0.177,22.8
234,iStock-857786372.jpg,family,s6,T,1.5,1.123,1.043,1.035,1.035,0,0,0,181.3,78.7,0.3405,0.157,0.145,8.2
235,iStock-874231466.jpg,move,s4,T,1.513,1.426,1.362,1.079,1.114,0,0,0,200.0,41.3,0.0999,0.161,0.135,30.9
236,iStock-876466400 (9).jpg,digital,s6,T,1.5,0.954,0.947,1.053,1.069,0,0,0,168.6,50.6,0.0015,0.192,0.244,-4.5
237,iStock-886673462.jpg,move,s2,T,1.499,1.061,1.081,1.096,1.243,0,0,0,162.7,75.6,0.3197,0.372,0.255,52.0
238,iStock-899959552.jpg,mind,s6,H,1.5,1.09,1.137,1.03,1.044,0,0,0,121.0,58.1,0.0,0.356,0.418,20.4
239,iStock-901096798 (1).jpg,strength,s2,T,1.5,1.427,1.284,1.122,1.09,0,0,0,134.6,68.7,0.0985,0.316,0.284,42.9
240,iStock-902827530.jpg,family,s6,T,1.762,1.085,1.06,1.009,0.958,0,0,0,191.3,61.0,0.2633,0.12,0.16,6.6
241,iStock-906871772.jpg,work,s1,T,1.554,1.26,1.329,1.084,1.088,0,0,0,148.1,54.9,0.0137,0.143,0.114,-9.1
242,iStock-923352966.jpg,family,s6,T,1.5,1.252,1.328,1.097,1.166,0,0,0,123.7,46.0,0.0,0.278,0.303,20.4
243,iStock-931231576.jpg,nutrition,s6,T,1.498,1.253,1.282,1.085,1.155,0,0,0,163.9,51.8,0.0,0.221,0.183,3.3
244,iStock-931419404.jpg,social,s6,T,1.582,1.053,1.062,1.091,1.169,0,0,0,163.7,81.6,0.0923,0.172,0.148,14.9
245,iStock-944300692 (1).jpg,move,s6,T,1.5,1.157,1.035,1.074,1.12,0,0,0,190.8,66.8,0.1515,0.236,0.185,-24.2
246,iStock-949503674.jpg,nutrition,s6,T,1.552,1.562,1.675,1.113,1.333,0,0,0,92.6,53.0,0.0026,0.271,0.115,15.2
247,iStock-958727702.jpg,nutrition,s6,T,1.5,1.159,1.006,1.065,1.303,0,0,0,188.4,57.9,0.2876,0.281,0.246,45.8
248,iStock-958728126.jpg,outdoors,s3,N,0.667,1.035,0.935,1.131,1.132,0,0,0,124.5,75.1,0.1235,0.404,0.36,48.5
249,iStock-959028830 (1).jpg,move,s3,H,1.499,0.656,0.641,1.087,1.153,0,0,0,169.4,60.5,0.0905,0.346,0.488,-37.5
250,iStock-959028830-modified-3ef78345-71e4-4004-bcda-6aa3c034b128.jpg,move,s3,H,1.499,1.014,0.979,1.089,1.181,0,0,0,189.4,61.5,0.1776,0.264,0.327,-2.5
251,iStock-965432044.jpg,digital,s6,T,1.499,0.975,0.957,1.035,1.127,0,0,0,131.0,64.3,0.0386,0.365,0.335,51.1
252,iStock-969233490.jpg,portrait,s6,T,1.506,1.181,1.25,1.12,1.213,0,0,0,162.6,71.6,0.2207,0.368,0.358,53.1
253,iStock-970073902.jpg,digital,s2,N,0.667,1.899,1.937,1.611,1.21,0,0,0,89.6,53.0,0.0002,0.623,0.8,-60.4
